Usuario,Categorias,Numero_articulos,Fecha,Precio,Valoracion,Comentarios,Proveedores
114,Juguetes,1,2020-09-14 09:31:38.756294,332.07,1.9,no llego en tiempo,Playmobile
78,Libros,4,2020-06-06 00:45:30.693831,496.49,4.5,justo lo que esperaba,Ediciones Tomodomo
111,Ropa,10,2020-05-09 11:58:09.729918,325.45,3.6,justo lo que esperaba,Roxy
253,Ferreteria,10,2020-10-08 06:58:41.351734,18.91,4.7,buena relacion calidad-precio,Pavco
192,Ropa,10,2019-09-07 23:26:15.856794,160.62,3.2,llego justo a tiempo,Levis
316,Juguetes,3,2020-06-06 08:11:25.921331,188.75,3.8, muy bueno!,Fisher-price
293,Deporte,5,2020-07-14 12:46:41.221420,30.61,3.7, muy bueno!,Asics
423,Hogar,10,2019-05-08 11:11:30.295215,283.25,0.4,no llego el producto,Unilever
102,Electronica,2,2019-06-17 13:29:55.711928,98.24,2.6,me gusto,Sony
324,Juguetes,5,2020-10-30 20:25:18.610280,251.26,1.4,muy malo,Lego
324,Ferreteria,5,2020-06-13 13:04:44.949124,468.79,1.3,muy malo,Pavco
259,Hogar,8,2019-02-01 15:04:33.682284,348.88,0.7,no cumple las expectativas,Henkel
99,Cocina,7,2019-07-13 16:54:08.513640,480.49,4.1,justo lo que esperaba,Oscar mayer
197,Baño,10,2020-03-16 12:34:51.179076,413.51,4.3,justo lo que esperaba,Don limpio
257,Electronica,11,2019-12-23 01:57:10.135027,346.18,3.3, cumple las expectativas,Apple
459,Libros,11,2019-11-13 20:08:42.997237,382.64,2.7,me gusto,Platena Comic
222,Ferreteria,11,2020-06-01 15:01:01.221954,363.29,3.5,me gusto,Sika
210,Ropa,5,2020-02-29 23:15:05.123170,324.22,3.7,justo lo que esperaba,Roxy
171,Cocina,11,2019-05-09 21:09:57.334152,343.53,2.9, cumple las expectativas,Flora
203,Ropa,11,2020-11-18 18:44:56.469763,232.46,4.2, muy bueno!,Lacoste
107,Ropa,9,2020-06-16 08:58:43.792032,290.65,2.0,el paquete llego en mal estado,Lacoste
147,Accesorios,6,2020-07-12 08:27:12.806475,198.14,0.6,no llego el producto, Michael Kors
476,Zapatos,6,2019-01-10 10:46:13.690226,233.85,2.3,el paquete llego en mal estado,Camper
472,Juguetes,6,2020-01-20 03:13:30.226312,13.36,3.0,llego justo a tiempo,Chicco
329,Ferreteria,4,2019-12-28 09:16:01.498341,436.39,1.2,no llego el producto,Pavco
306,Deporte,7,2020-08-03 09:17:14.866008,71.35,1.5,no cumple las expectativas,Adidas
142,Juguetes,9,2019-04-07 14:06:58.979531,472.73,5.0, muy bueno!,Fisher-price
75,Hogar,2,2020-10-28 00:59:16.548524,278.03,1.6, la calidad no es la esperada,Colgate - palmolive
459,Ropa,2,2020-10-19 15:59:11.581274,84.79,1.6,el paquete llego en mal estado,Hollister
362,Juguetes,1,2020-09-08 23:31:30.376449,116.11,1.0,muy malo,Playmobile
449,Zapatos,10,2019-08-18 22:02:20.535918,405.84,1.7,el paquete llego en mal estado,Skechers
58,Zapatos,1,2020-05-26 03:04:06.623034,348.48,3.5, cumple las expectativas,Crocs
315,Deporte,5,2020-10-26 23:34:59.300636,475.87,4.5, muy bueno!,Nike
40,Baño,7,2020-07-31 05:42:23.961595,218.25,2.5,no llego en tiempo,Cristasol
460,Baño,10,2019-04-16 03:59:41.359505,379.21,4.4,buena relacion calidad-precio,KH7
307,Accesorios,1,2019-05-15 09:22:51.451272,271.99,2.0, la calidad no es la esperada,Ray-ban
154,Libros,9,2019-08-09 09:25:10.959050,497.23,4.2, muy bueno!,Platena Comic
338,Deporte,4,2020-07-08 22:16:55.607754,371.97,2.7, cumple las expectativas,Under Armour
372,Ferreteria,6,2020-07-20 13:12:54.932721,371.41,0.3,muy malo,Pavco
251,Libros,10,2020-09-03 08:55:42.778705,264.44,4.5,justo lo que esperaba,Valdemar
278,Libros,10,2020-07-11 16:08:30.682518,393.11,0.2,no cumple las expectativas,Alianza Editorial
296,Juguetes,7,2019-10-14 06:32:07.412384,423.74,4.9,buena relacion calidad-precio,Playmobile
83,Deporte,11,2019-07-17 02:22:35.778487,162.12,3.2, cumple las expectativas,Under Armour
420,Electronica,1,2020-04-08 13:41:55.903525,327.08,0.4,no cumple las expectativas,Apple
12,Ropa,2,2020-04-05 07:50:29.770394,223.3,4.4,justo lo que esperaba,Hollister
216,Deporte,11,2020-05-08 15:04:12.668517,44.09,4.5,buena relacion calidad-precio,Adidas
139,Deporte,10,2019-04-15 09:45:45.544673,326.87,4.6, muy bueno!,Adidas
409,Ropa,4,2019-03-20 05:09:53.330316,108.72,4.6, muy bueno!,Roxy
296,Baño,2,2020-01-16 21:12:25.226222,174.33,2.0,el paquete llego en mal estado,KH7
222,Juguetes,7,2020-07-27 13:18:09.379302,410.36,0.7,muy malo,Fisher-price
424,Deporte,4,2019-05-22 02:14:36.159308,149.04,2.2, la calidad no es la esperada,Asics
370,Ropa,5,2019-01-01 13:59:36.991779,191.62,2.7,llego justo a tiempo,Roxy
343,Cocina,9,2020-07-28 02:07:33.696348,40.91,1.3,no llego el producto,Flora
168,Zapatos,2,2019-03-14 06:09:22.592934,438.65,0.9,no llego el producto,Camper
479,Hogar,8,2019-12-18 00:26:45.551936,286.32,3.0,llego justo a tiempo,Unilever
426,Ropa,5,2020-02-18 12:06:19.930566,183.51,0.8,no llego el producto,Levis
128,Cocina,7,2020-03-09 09:36:32.124991,256.0,1.8,no llego en tiempo,Oscar mayer
46,Accesorios,6,2020-06-06 12:11:59.955151,92.58,3.4,me gusto,Polo
428,Electronica,1,2019-12-03 22:55:14.594416,108.87,1.0,no cumple las expectativas,Sony
461,Accesorios,4,2019-01-22 20:42:38.271666,280.47,0.2,muy malo,Polo
491,Deporte,4,2019-07-22 12:55:22.478202,241.0,0.9,no cumple las expectativas,Adidas
27,Juguetes,9,2020-06-25 09:16:22.133816,457.69,1.5,muy malo,Chicco
395,Libros,3,2019-04-24 21:13:55.286114,348.65,3.6, muy bueno!,Platena Comic
245,Juguetes,8,2020-11-02 09:43:03.503530,464.03,1.8,el paquete llego en mal estado,Playmobile
115,Cocina,7,2020-07-30 12:26:35.903538,66.62,4.9,justo lo que esperaba,Oscar mayer
358,Accesorios,1,2019-10-31 00:19:39.784298,445.88,4.2,justo lo que esperaba, Michael Kors
283,Baño,7,2019-01-07 09:06:49.316830,321.12,2.4,el paquete llego en mal estado,Cristasol
161,Hogar,7,2020-06-06 20:38:01.808119,343.98,3.5,llego justo a tiempo,Vileda
160,Baño,5,2019-03-24 06:57:58.731541,227.94,2.5, la calidad no es la esperada,Cristasol
276,Hogar,11,2020-06-19 05:45:50.232344,303.79,0.1,no cumple las expectativas,Henkel
94,Ferreteria,5,2019-06-19 11:00:21.223865,289.68,4.2,justo lo que esperaba,Pavco
389,Cocina,7,2019-01-15 15:55:51.019239,352.09,1.8, la calidad no es la esperada,Bimbo
218,Ferreteria,2,2020-01-04 05:33:46.405003,209.84,2.1,el paquete llego en mal estado,3M
339,Accesorios,7,2020-02-02 14:03:11.900983,175.84,0.7,muy malo, Michael Kors
124,Ropa,4,2019-08-05 14:36:26.815760,491.16,4.9, muy bueno!,Hollister
164,Accesorios,3,2019-01-21 21:15:41.798219,448.82,1.1,muy malo,Polo
294,Hogar,8,2020-05-30 12:10:46.784938,80.83,2.8,llego justo a tiempo,Unilever
352,Juguetes,10,2020-05-07 09:07:10.233991,255.85,1.1,muy malo,Fisher-price
150,Baño,7,2019-02-27 13:28:45.391806,49.13,3.8,buena relacion calidad-precio,KH7
322,Ropa,10,2019-06-20 21:23:33.625574,151.28,4.4, muy bueno!,Lacoste
19,Zapatos,2,2019-11-16 06:53:45.708641,230.78,1.5,no llego el producto,Camper
172,Juguetes,3,2019-12-10 00:37:52.873800,436.95,1.1,no llego el producto,Fisher-price
395,Cocina,6,2020-05-22 07:21:58.392556,108.07,4.6, muy bueno!,Flora
482,Electronica,6,2020-05-16 18:03:40.332909,474.09,1.9,no llego en tiempo,Sony
226,Hogar,2,2019-12-30 01:14:22.570543,317.79,0.5,no cumple las expectativas,Colgate - palmolive
475,Electronica,7,2019-09-08 17:44:54.789505,18.99,2.0,no llego en tiempo,Apple
354,Accesorios,4,2020-06-22 02:21:34.322496,325.17,1.8,no llego en tiempo,Ray-ban
293,Baño,1,2020-12-27 08:42:15.197471,319.17,3.0, cumple las expectativas,KH7
274,Zapatos,8,2019-10-09 10:16:03.206577,255.26,4.5, muy bueno!,Crocs
100,Deporte,9,2020-09-27 12:13:24.292609,101.88,0.2,no cumple las expectativas,Adidas
84,Deporte,7,2019-01-09 15:01:31.414883,199.38,0.7,muy malo,Under Armour
404,Ropa,5,2019-07-24 12:32:30.153770,325.16,2.3,no llego en tiempo,Lacoste
480,Juguetes,9,2019-01-07 12:27:55.242507,10.67,0.5,muy malo,Playmobile
255,Cocina,4,2019-10-11 01:44:15.420811,228.97,3.7,justo lo que esperaba,Bimbo
138,Juguetes,4,2020-01-20 13:08:01.289026,184.06,3.5,llego justo a tiempo,Chicco
276,Cocina,10,2020-03-06 05:16:58.762321,454.25,2.8,me gusto,Oscar mayer
130,Hogar,2,2019-05-16 15:12:35.561345,395.07,1.7,no llego en tiempo,Henkel
425,Deporte,11,2019-07-03 14:04:40.957211,399.84,0.5,no llego el producto,Nike
123,Cocina,4,2019-10-07 04:06:43.289696,247.32,3.8, muy bueno!,Bimbo
69,Cocina,9,2019-07-17 05:35:01.788063,71.72,4.1, muy bueno!,Bimbo
238,Hogar,11,2019-05-17 09:18:57.760539,387.9,1.0,muy malo,Henkel
383,Accesorios,6,2019-03-26 21:51:56.281287,329.0,4.9, muy bueno!,Polo
235,Hogar,11,2019-04-21 23:43:11.710949,446.63,1.8,el paquete llego en mal estado,Vileda
162,Juguetes,5,2019-01-10 13:04:06.180139,360.14,0.1,muy malo,Playmobile
275,Accesorios,10,2020-06-25 10:26:25.731922,367.95,4.8, muy bueno!,Bimba y Lola
91,Hogar,1,2020-11-11 03:20:53.014652,103.9,0.3,no llego el producto,Henkel
490,Ropa,11,2020-02-16 18:41:17.797185,103.26,2.4, la calidad no es la esperada,Levis
258,Ropa,10,2019-06-01 01:53:45.652051,91.49,1.5,muy malo,Hollister
251,Ropa,7,2019-10-09 16:15:17.184208,194.93,4.0,buena relacion calidad-precio,Roxy
230,Hogar,10,2020-10-10 18:40:00.536679,291.77,2.4,el paquete llego en mal estado,Unilever
448,Ropa,2,2020-05-06 11:12:28.705670,6.39,0.4,muy malo,Hollister
334,Juguetes,3,2019-06-16 11:17:07.885815,103.27,3.5,me gusto,Playmobile
432,Hogar,1,2019-11-14 09:24:48.737409,405.98,2.8,llego justo a tiempo,Colgate - palmolive
363,Libros,4,2019-12-26 14:12:07.883893,457.3,0.7,muy malo,Valdemar
154,Baño,4,2019-11-07 18:31:59.722450,5.35,4.9,buena relacion calidad-precio,Cif
157,Ropa,6,2020-08-01 04:18:29.046971,135.46,0.4,no llego el producto,Hollister
319,Electronica,4,2019-08-02 09:24:51.700674,332.94,3.1,llego justo a tiempo,Samsumg
385,Hogar,7,2019-11-03 12:35:13.408892,354.87,2.0,el paquete llego en mal estado,Vileda
233,Accesorios,10,2019-01-11 02:52:37.044767,241.02,0.2,no llego el producto,Ray-ban
125,Ropa,5,2019-02-28 20:29:24.046153,41.51,4.4,justo lo que esperaba,Roxy
414,Electronica,1,2019-07-06 21:45:14.308959,127.76,0.3,no cumple las expectativas,Samsumg
339,Ropa,3,2019-06-04 16:33:24.147663,321.19,0.1,no cumple las expectativas,Roxy
25,Juguetes,8,2019-01-07 01:11:09.904283,469.3,1.7,no llego en tiempo,Playmobile
76,Electronica,6,2020-06-15 05:17:59.724394,330.13,2.8, cumple las expectativas,Samsumg
138,Zapatos,1,2019-07-09 09:17:44.302591,478.87,1.9, la calidad no es la esperada,New balance
259,Ferreteria,11,2020-05-07 16:19:01.283694,171.56,3.6, muy bueno!,3M
17,Libros,3,2019-04-28 07:26:05.571296,84.74,1.5,muy malo,Valdemar
407,Baño,7,2020-08-01 19:31:47.278330,445.35,3.7, muy bueno!,Cif
445,Hogar,5,2020-12-28 18:05:22.261522,330.71,0.9,no cumple las expectativas,Unilever
120,Hogar,9,2020-08-13 07:49:52.139170,73.28,4.3,justo lo que esperaba,Colgate - palmolive
267,Juguetes,6,2019-06-25 23:19:42.903272,476.15,0.8,no cumple las expectativas,Lego
359,Zapatos,3,2020-02-16 09:32:25.896512,19.85,0.1,muy malo,Camper
457,Hogar,1,2020-04-07 11:02:23.364453,420.01,4.3,justo lo que esperaba,Colgate - palmolive
183,Baño,10,2019-05-24 04:52:53.992288,195.51,3.1,llego justo a tiempo,Don limpio
34,Baño,8,2020-07-11 22:55:32.338170,138.34,2.4,el paquete llego en mal estado,Don limpio
214,Libros,5,2020-05-24 23:57:04.746735,39.74,3.2,llego justo a tiempo,Platena Comic
216,Hogar,2,2019-09-20 00:13:13.480100,329.65,4.4,buena relacion calidad-precio,Vileda
423,Hogar,10,2020-11-28 13:45:35.635441,268.16,2.4,no llego en tiempo,Colgate - palmolive
7,Baño,11,2020-03-03 06:56:53.941171,180.98,5.0, muy bueno!,KH7
364,Hogar,11,2020-10-27 10:54:42.615143,176.16,2.2,no llego en tiempo,Vileda
51,Accesorios,4,2019-04-15 10:50:20.473295,190.37,4.2, muy bueno!, Michael Kors
351,Zapatos,10,2019-10-13 00:16:27.477966,412.36,1.5,muy malo,New balance
151,Ropa,8,2020-06-18 15:49:15.086784,386.42,0.2,no llego el producto,Levis
91,Deporte,10,2019-12-11 03:39:12.092960,329.88,1.3,muy malo,Nike
16,Ropa,2,2020-08-17 00:07:06.352313,220.73,1.6,el paquete llego en mal estado,Roxy
43,Zapatos,4,2019-07-23 18:48:46.069494,214.8,1.6,no llego en tiempo,Skechers
184,Deporte,1,2020-12-08 19:29:25.207882,394.28,2.5,no llego en tiempo,Asics
433,Hogar,11,2020-05-09 12:13:11.471161,383.7,5.0, muy bueno!,Vileda
42,Baño,6,2019-09-05 12:54:25.993065,354.89,3.3,me gusto,Don limpio
16,Baño,2,2020-10-09 15:50:36.951769,262.9,3.0, cumple las expectativas,Cif
481,Zapatos,3,2019-11-12 09:16:25.524264,265.65,2.3, la calidad no es la esperada,Skechers
296,Electronica,11,2020-11-12 12:33:51.577121,396.93,3.0,me gusto,Sony
92,Hogar,5,2019-07-29 10:13:05.246819,182.03,0.0,no llego el producto,Colgate - palmolive
203,Baño,7,2020-04-16 06:46:30.413343,177.96,4.6,justo lo que esperaba,Cif
168,Baño,11,2019-04-09 12:38:56.031692,246.41,4.6,justo lo que esperaba,Don limpio
19,Deporte,7,2020-10-10 15:46:38.425704,131.08,2.8,llego justo a tiempo,Asics
345,Ferreteria,10,2020-09-01 17:20:23.887442,273.18,1.6,no llego en tiempo,Pavco
250,Baño,6,2020-03-29 13:52:32.175562,252.3,0.2,no llego el producto,KH7
211,Libros,8,2019-10-13 20:48:04.321485,96.07,1.8, la calidad no es la esperada,Ediciones Tomodomo
422,Juguetes,4,2020-09-24 11:11:04.669551,250.82,2.8,llego justo a tiempo,Chicco
431,Cocina,1,2020-12-11 11:24:39.940270,136.89,2.2,el paquete llego en mal estado,Oscar mayer
251,Zapatos,1,2019-01-01 14:52:52.747196,83.43,2.8,llego justo a tiempo,Camper
277,Zapatos,8,2019-03-02 14:51:59.669443,431.39,4.1,buena relacion calidad-precio,Skechers
44,Electronica,4,2020-11-12 13:50:44.707885,173.04,3.5,llego justo a tiempo,General Electric
98,Hogar,8,2020-04-18 04:35:21.427866,27.48,3.4,llego justo a tiempo,Colgate - palmolive
13,Libros,10,2020-11-16 21:48:07.518873,296.17,0.0,no llego el producto,Alianza Editorial
115,Ropa,8,2019-06-28 14:16:34.618428,372.17,0.7,muy malo,Levis
69,Accesorios,1,2020-04-10 21:35:26.674208,387.16,3.0,llego justo a tiempo,Polo
114,Ferreteria,3,2020-01-15 10:29:53.142569,380.45,2.2,el paquete llego en mal estado,Yale
354,Libros,3,2019-07-07 11:10:02.516567,300.28,1.5,no llego el producto,Ediciones Tomodomo
448,Zapatos,8,2020-11-18 03:41:40.272199,386.41,3.9,buena relacion calidad-precio,New balance
105,Accesorios,4,2019-10-10 18:31:41.295839,358.58,4.1,justo lo que esperaba, Michael Kors
125,Zapatos,3,2020-12-02 13:44:35.308919,441.26,2.1, la calidad no es la esperada,Crocs
303,Baño,4,2020-05-24 20:16:08.126749,167.31,4.6,justo lo que esperaba,Cif
259,Deporte,6,2019-08-10 16:38:03.474874,44.49,1.1,no llego el producto,Adidas
228,Baño,8,2020-02-01 23:00:43.772923,411.98,0.1,no llego el producto,Cif
251,Ferreteria,11,2019-01-25 08:53:55.493788,325.5,3.4, cumple las expectativas,Sika
85,Deporte,10,2020-01-23 10:59:21.287678,207.26,1.6,no llego en tiempo,Under Armour
440,Electronica,1,2020-09-24 13:32:43.804286,499.96,3.2, cumple las expectativas,Samsumg
230,Baño,2,2020-10-04 22:44:50.012561,436.13,2.6, cumple las expectativas,Cristasol
335,Hogar,1,2019-01-18 20:34:35.103592,110.04,0.4,no llego el producto,Vileda
218,Libros,5,2020-03-17 10:05:18.606764,276.99,4.5,buena relacion calidad-precio,Valdemar
31,Ropa,6,2019-12-30 14:32:47.609773,283.56,4.5,buena relacion calidad-precio,Lacoste
442,Deporte,2,2019-09-30 05:19:47.425867,367.97,0.0,no llego el producto,Asics
305,Hogar,7,2020-12-28 07:49:50.800750,152.22,3.8, muy bueno!,Colgate - palmolive
231,Zapatos,11,2019-07-30 22:55:39.815841,68.77,1.5,no cumple las expectativas,Camper
442,Deporte,10,2020-06-14 02:36:12.691591,113.35,4.9,justo lo que esperaba,Nike
488,Accesorios,8,2019-07-08 10:24:01.603918,26.09,5.0, muy bueno!,Polo
198,Deporte,8,2019-12-03 07:43:02.995091,121.87,2.9, cumple las expectativas,Nike
316,Libros,4,2020-10-02 10:47:20.052214,191.98,0.7,muy malo,Alianza Editorial
179,Juguetes,1,2019-12-01 19:46:52.444464,248.31,1.6, la calidad no es la esperada,Fisher-price
176,Hogar,1,2019-01-30 03:06:46.786128,264.92,2.4,el paquete llego en mal estado,Vileda
32,Baño,11,2019-01-23 15:14:07.590850,374.41,2.8,llego justo a tiempo,KH7
387,Accesorios,9,2019-11-26 15:20:21.714459,397.15,4.2,justo lo que esperaba, Michael Kors
376,Baño,11,2020-07-01 03:07:51.460453,26.72,1.4,muy malo,Don limpio
462,Ferreteria,8,2020-02-27 07:48:21.553388,352.41,4.4, muy bueno!,Sika
28,Libros,4,2019-12-20 02:10:02.340281,112.46,1.4,muy malo,Valdemar
311,Libros,3,2020-05-15 02:46:57.812027,29.86,2.8,me gusto,Valdemar
411,Accesorios,2,2020-02-02 09:43:36.718174,375.71,0.9,no cumple las expectativas, Michael Kors
418,Deporte,1,2020-10-12 11:15:00.785699,39.44,3.6, muy bueno!,Asics
151,Accesorios,2,2020-08-01 15:42:20.372650,241.07,2.2,el paquete llego en mal estado,Ray-ban
210,Ropa,4,2020-07-07 14:34:03.048561,153.71,3.3,llego justo a tiempo,Levis
285,Cocina,1,2020-11-17 01:32:21.852178,44.84,0.1,no llego el producto,Bimbo
405,Electronica,6,2019-10-16 13:14:44.668226,107.91,0.8,no cumple las expectativas,Sony
80,Ferreteria,4,2020-01-10 18:44:12.484994,478.71,4.2, muy bueno!,Sika
368,Ropa,8,2019-06-25 04:02:34.613436,208.34,3.5,me gusto,Lacoste
97,Libros,10,2019-02-10 18:03:34.113530,335.22,3.1,llego justo a tiempo,Valdemar
232,Accesorios,9,2019-07-25 01:48:10.718673,232.08,2.4,no llego en tiempo,Ray-ban
159,Cocina,6,2020-03-29 15:36:44.864314,183.15,0.3,no llego el producto,Oscar mayer
254,Libros,10,2020-09-21 02:04:33.000140,453.56,4.1,justo lo que esperaba,Ediciones Tomodomo
7,Hogar,11,2019-02-10 08:18:59.221805,281.78,3.2,llego justo a tiempo,Vileda
483,Ferreteria,8,2020-02-10 20:20:08.003940,286.97,0.8,no cumple las expectativas,Yale
6,Accesorios,9,2020-10-30 01:19:44.199466,249.79,4.4, muy bueno!,Ray-ban
238,Hogar,1,2020-02-28 16:51:51.763929,485.17,0.3,no cumple las expectativas,Vileda
297,Libros,5,2019-12-29 19:54:21.909151,207.36,2.1,el paquete llego en mal estado,Ediciones Tomodomo
217,Ferreteria,8,2020-06-18 19:17:25.404263,185.08,4.6,buena relacion calidad-precio,Sika
221,Hogar,5,2020-02-03 09:46:43.445054,172.97,4.5,buena relacion calidad-precio,Vileda
295,Zapatos,8,2020-10-24 05:52:10.568022,226.0,3.3, cumple las expectativas,Crocs
72,Ropa,9,2020-10-06 06:06:35.582586,415.75,3.3,me gusto,Lacoste
78,Accesorios,1,2020-12-05 09:37:25.359453,169.08,2.3,el paquete llego en mal estado,Polo
354,Cocina,10,2019-11-07 01:23:21.911712,340.52,3.8,buena relacion calidad-precio,Bimbo
109,Accesorios,8,2020-02-28 10:58:33.767560,411.48,0.6,muy malo,Bimba y Lola
491,Baño,7,2020-03-20 13:47:35.923792,291.0,1.0,no llego el producto,Cif
380,Hogar,4,2020-02-28 02:54:36.713168,93.0,4.3, muy bueno!,Henkel
490,Ropa,5,2020-02-14 16:00:01.899871,52.35,1.2,no llego el producto,Roxy
343,Electronica,3,2020-08-12 17:23:33.067091,441.1,3.3,llego justo a tiempo,Samsumg
33,Ropa,1,2019-06-06 15:39:57.660886,150.55,3.0, cumple las expectativas,Hollister
96,Ferreteria,2,2019-12-31 03:17:13.411844,140.04,1.7,no llego en tiempo,Pavco
380,Cocina,2,2020-10-14 18:09:06.393528,324.52,1.8, la calidad no es la esperada,Nescafe
337,Ferreteria,7,2019-02-06 08:47:36.070647,358.64,2.0,no llego en tiempo,Sika
239,Electronica,11,2020-09-23 10:25:40.763029,154.8,2.5, la calidad no es la esperada,Apple
436,Deporte,8,2020-03-05 16:02:55.787044,366.66,2.5, la calidad no es la esperada,Nike
482,Juguetes,1,2020-07-29 08:41:34.643316,120.67,0.8,no llego el producto,Playmobile
51,Juguetes,4,2019-11-22 03:32:11.788741,415.77,1.6,el paquete llego en mal estado,Lego
492,Libros,10,2019-09-17 19:09:22.884703,328.29,0.6,no llego el producto,Ediciones Tomodomo
108,Baño,5,2019-07-30 12:59:00.702468,48.93,2.1,no llego en tiempo,Cif
135,Electronica,7,2020-04-03 21:01:54.770943,340.19,3.8,buena relacion calidad-precio,Sony
274,Libros,11,2019-01-14 21:11:33.021495,466.84,2.5,no llego en tiempo,Platena Comic
485,Cocina,3,2019-08-10 19:41:28.859919,460.07,2.5,el paquete llego en mal estado,Bimbo
95,Ferreteria,1,2019-04-10 14:57:56.583663,429.52,0.7,muy malo,Sika
450,Cocina,6,2020-07-28 18:13:18.423988,121.05,0.8,no llego el producto,Oscar mayer
197,Baño,1,2020-04-29 21:44:38.628801,438.48,1.5,no llego el producto,Cristasol
374,Deporte,6,2019-01-22 16:54:01.908154,331.0,4.5,justo lo que esperaba,Asics
431,Baño,9,2019-04-19 22:25:19.478326,191.43,2.6,me gusto,Cif
100,Cocina,1,2020-04-15 05:48:20.866558,493.45,2.9,llego justo a tiempo,Oscar mayer
477,Hogar,10,2019-05-08 05:25:28.466759,324.89,1.0,no llego el producto,Unilever
399,Electronica,9,2019-08-22 23:35:56.652667,419.25,2.6,llego justo a tiempo,Apple
347,Hogar,3,2019-02-05 10:13:23.420154,275.27,0.9,no llego el producto,Henkel
388,Zapatos,5,2020-08-12 23:24:48.088356,410.58,2.4,el paquete llego en mal estado,Crocs
34,Ropa,9,2020-01-23 05:54:22.816673,31.25,2.0, la calidad no es la esperada,Lacoste
21,Baño,3,2019-12-12 20:33:02.463952,218.28,4.9,buena relacion calidad-precio,Cristasol
395,Juguetes,1,2019-10-23 01:00:09.467712,308.16,2.7, cumple las expectativas,Fisher-price
254,Libros,2,2020-10-19 13:47:27.542478,417.3,0.5,no cumple las expectativas,Alianza Editorial
103,Cocina,10,2020-08-14 22:20:29.918120,478.13,2.3, la calidad no es la esperada,Bimbo
193,Ropa,7,2020-06-12 04:19:24.750680,374.77,4.2,buena relacion calidad-precio,Roxy
358,Cocina,1,2019-10-13 05:07:04.570405,163.13,4.0,buena relacion calidad-precio,Flora
